processed_column,block,dtype,fill_fraction,model_input
feat_fp_1017,feat_,float64,0.835920177383592,True
feat_fp_1019,feat_,float64,0.835920177383592,True
feat_fp_1027,feat_,float64,0.835920177383592,True
feat_fp_1028,feat_,float64,0.835920177383592,True
feat_fp_1034,feat_,float64,0.835920177383592,True
feat_fp_1038,feat_,float64,0.835920177383592,True
feat_fp_1056,feat_,float64,0.835920177383592,True
feat_fp_1066,feat_,float64,0.835920177383592,True
feat_fp_1070,feat_,float64,0.835920177383592,True
feat_fp_1071,feat_,float64,0.835920177383592,True
feat_fp_1077,feat_,float64,0.835920177383592,True
feat_fp_1081,feat_,float64,0.835920177383592,True
feat_fp_1083,feat_,float64,0.835920177383592,True
feat_fp_1088,feat_,float64,0.835920177383592,True
feat_fp_1111,feat_,float64,0.835920177383592,True
feat_fp_1114,feat_,float64,0.835920177383592,True
feat_fp_1120,feat_,float64,0.835920177383592,True
feat_fp_1127,feat_,float64,0.835920177383592,True
feat_fp_1130,feat_,float64,0.835920177383592,True
feat_fp_1142,feat_,float64,0.835920177383592,True
feat_fp_1143,feat_,float64,0.835920177383592,True
feat_fp_1145,feat_,float64,0.835920177383592,True
feat_fp_1149,feat_,float64,0.835920177383592,True
feat_fp_1152,feat_,float64,0.835920177383592,True
feat_fp_1163,feat_,float64,0.835920177383592,True
feat_fp_1168,feat_,float64,0.835920177383592,True
feat_fp_1171,feat_,float64,0.835920177383592,True
feat_fp_1172,feat_,float64,0.835920177383592,True
feat_fp_1195,feat_,float64,0.835920177383592,True
feat_fp_1196,feat_,float64,0.835920177383592,True
feat_fp_1199,feat_,float64,0.835920177383592,True
feat_fp_1207,feat_,float64,0.835920177383592,True
feat_fp_1218,feat_,float64,0.835920177383592,True
feat_fp_1235,feat_,float64,0.835920177383592,True
feat_fp_1236,feat_,float64,0.835920177383592,True
feat_fp_1238,feat_,float64,0.835920177383592,True
feat_fp_1240,feat_,float64,0.835920177383592,True
feat_fp_1243,feat_,float64,0.835920177383592,True
feat_fp_1249,feat_,float64,0.835920177383592,True
feat_fp_1253,feat_,float64,0.835920177383592,True
feat_fp_1261,feat_,float64,0.835920177383592,True
feat_fp_1267,feat_,float64,0.835920177383592,True
feat_fp_1280,feat_,float64,0.835920177383592,True
feat_fp_1283,feat_,float64,0.835920177383592,True
feat_fp_1284,feat_,float64,0.835920177383592,True
feat_fp_1290,feat_,float64,0.835920177383592,True
feat_fp_1309,feat_,float64,0.835920177383592,True
feat_fp_1312,feat_,float64,0.835920177383592,True
feat_fp_1316,feat_,float64,0.835920177383592,True
feat_fp_1317,feat_,float64,0.835920177383592,True
feat_fp_1321,feat_,float64,0.835920177383592,True
feat_fp_1322,feat_,float64,0.835920177383592,True
feat_fp_1325,feat_,float64,0.835920177383592,True
feat_fp_1328,feat_,float64,0.835920177383592,True
feat_fp_1332,feat_,float64,0.835920177383592,True
feat_fp_1347,feat_,float64,0.835920177383592,True
feat_fp_1355,feat_,float64,0.835920177383592,True
feat_fp_1358,feat_,float64,0.835920177383592,True
feat_fp_1367,feat_,float64,0.835920177383592,True
