seed,weighting,metric,baseline,baseline_plus_md,delta_md_minus_baseline
2043,row_weighted,pr_auc_active,0.475071225071225,0.545970695970696,0.07089947089947102
2043,row_weighted,pr_auc_inactive,0.6069684283969998,0.6793040293040293,0.07233560090702951
2043,row_weighted,balanced_accuracy,0.5357142857142857,0.7738095238095238,0.23809523809523814
2043,row_weighted,macro_f1,0.5357142857142857,0.7692307692307693,0.23351648351648358
2043,row_weighted,mcc,0.07142857142857142,0.5476190476190477,0.4761904761904763
2044,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2044,row_weighted,pr_auc_active,0.486975986975987,0.545970695970696,0.058994708994709044
2044,row_weighted,pr_auc_inactive,0.6205738705738706,0.6793040293040293,0.058730158730158744
2044,row_weighted,balanced_accuracy,0.45238095238095233,0.6309523809523809,0.1785714285714286
2044,row_weighted,macro_f1,0.4484848484848485,0.606060606060606,0.15757575757575748
2044,row_weighted,mcc,-0.09759000729485333,0.2828894749305018,0.38047948222535516
2045,row_weighted,roc_auc,0.4523809523809524,0.5952380952380953,0.14285714285714296
2045,row_weighted,pr_auc_active,0.4658119658119658,0.545970695970696,0.08015873015873021
2045,row_weighted,pr_auc_inactive,0.5855398569684284,0.6793040293040293,0.09376417233560097
2045,row_weighted,balanced_accuracy,0.4642857142857143,0.6309523809523809,0.16666666666666663
2045,row_weighted,macro_f1,0.46153846153846156,0.606060606060606,0.1445221445221444
2045,row_weighted,mcc,-0.07142857142857142,0.2828894749305018,0.35431804635907327
2046,row_weighted,roc_auc,0.45238095238095244,0.6428571428571429,0.19047619047619047
2046,row_weighted,pr_auc_active,0.46316646316646315,0.55995670995671,0.09679024679024684
2046,row_weighted,pr_auc_inactive,0.5967643467643468,0.7745421245421246,0.1777777777777778
2046,row_weighted,balanced_accuracy,0.45238095238095233,0.7023809523809523,0.25
2046,row_weighted,macro_f1,0.4484848484848485,0.6904761904761905,0.24199134199134198
2046,row_weighted,mcc,-0.09759000729485333,0.4147575310031266,0.51234753829798
2047,row_weighted,roc_auc,0.5714285714285714,0.5952380952380953,0.023809523809523947
2047,row_weighted,pr_auc_active,0.5176286676286675,0.545970695970696,0.02834202834202848
2047,row_weighted,pr_auc_inactive,0.7257326007326007,0.6793040293040293,-0.046428571428571375
2047,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2047,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2047,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2048,row_weighted,roc_auc,0.5,0.5952380952380953,0.09523809523809534
2048,row_weighted,pr_auc_active,0.49173789173789173,0.545970695970696,0.0542328042328043
2048,row_weighted,pr_auc_inactive,0.6168890633176347,0.6793040293040293,0.06241496598639462
2048,row_weighted,balanced_accuracy,0.6071428571428572,0.6309523809523809,0.023809523809523725
2048,row_weighted,macro_f1,0.606060606060606,0.606060606060606,0.0
2048,row_weighted,mcc,0.21957751641341997,0.2828894749305018,0.06331195851708185
2049,row_weighted,roc_auc,0.4761904761904762,0.6428571428571429,0.16666666666666669
2049,row_weighted,pr_auc_active,0.475071225071225,0.55995670995671,0.08488548488548497
2049,row_weighted,pr_auc_inactive,0.6069684283969998,0.7745421245421246,0.16757369614512474
2049,row_weighted,balanced_accuracy,0.4642857142857143,0.6309523809523809,0.16666666666666663
2049,row_weighted,macro_f1,0.46153846153846156,0.606060606060606,0.1445221445221444
2049,row_weighted,mcc,-0.07142857142857142,0.2828894749305018,0.35431804635907327
2050,row_weighted,roc_auc,0.4523809523809524,0.5952380952380953,0.14285714285714296
2050,row_weighted,pr_auc_active,0.4658119658119658,0.545970695970696,0.08015873015873021
2050,row_weighted,pr_auc_inactive,0.5855398569684284,0.6793040293040293,0.09376417233560097
2050,row_weighted,balanced_accuracy,0.4642857142857143,0.6309523809523809,0.16666666666666663
2050,row_weighted,macro_f1,0.46153846153846156,0.606060606060606,0.1445221445221444
2050,row_weighted,mcc,-0.07142857142857142,0.2828894749305018,0.35431804635907327
2051,row_weighted,roc_auc,0.5,0.6428571428571429,0.1428571428571429
2051,row_weighted,pr_auc_active,0.486975986975987,0.55995670995671,0.072980722980723
2051,row_weighted,pr_auc_inactive,0.6205738705738706,0.7745421245421246,0.15396825396825398
2051,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2051,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2051,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2052,row_weighted,roc_auc,0.5238095238095238,0.5952380952380953,0.07142857142857151
2052,row_weighted,pr_auc_active,0.5036426536426536,0.545970695970696,0.04232804232804244
2052,row_weighted,pr_auc_inactive,0.6304945054945055,0.6793040293040293,0.04880952380952386
2052,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2052,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2052,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
2053,row_weighted,roc_auc,0.40476190476190477,0.6428571428571429,0.23809523809523814
2053,row_weighted,pr_auc_active,0.45192307692307687,0.55995670995671,0.10803363303363311
2053,row_weighted,pr_auc_inactive,0.5379208093493808,0.7745421245421246,0.23662131519274376
2053,row_weighted,balanced_accuracy,0.5357142857142857,0.6309523809523809,0.09523809523809523
2053,row_weighted,macro_f1,0.5357142857142857,0.606060606060606,0.07034632034632027
2053,row_weighted,mcc,0.07142857142857142,0.2828894749305018,0.2114609035019304
